ner,sample,component,label
( ACOs ),Accountable Care Organizations ( ACOs ),0,1
( ACOs ),Accountable Care Organization ( ACO ),0,1
Accountable Care Organizations ( ACOs ),Accountable Care Organization ( ACO ),0,1
Accountable Care Organizations ( ACOs ),Accountable Care Organization,0,1
Accountable Care Organizations ( ACOs ),Accountable Care Organizations,0,1
Accountable Care Organization ( ACO ),Accountable Care Organization,0,1
Accountable Care Organization ( ACO ),Accountable Care Organizations,0,1
( Net Stable Funding Ratio or NSFR ),NSFR,2,1
( Net Stable Funding Ratio or NSFR ),Ratio ( NSFR ),2,1
( Net Stable Funding Ratio or NSFR ),( NSFR ),2,1
NSFR,Ratio ( NSFR ),2,1
NSFR,( NSFR ),2,1
Ratio ( NSFR ),( NSFR ),2,1
Electronic Information Products Regulation ( China-RoHS ),RoHS Directive,3,1
Electronic Information Products Regulation ( China-RoHS ),RoHS,3,1
Electronic Information Products Regulation ( China-RoHS ),( RoHS ),3,1
RoHS Directive,RoHS,3,1
RoHS Directive,( RoHS ),3,1
RoHS,( RoHS ),3,1
RoHS,Electrical and Electronic Equipment ( RoHS ),3,1
RoHS,Restriction of Hazardous Substances ( RoHS ),3,1
PD-L1,1 ( PD-L1 ),5,1
21st Century Cures Act,21st Century Cures Act ( the Cures Act ),6,1
21st Century Cures Act,Cures Act,6,1
21st Century Cures Act ( the Cures Act ),Cures Act,6,1
3GPP ( 3rd Generation Partnership Project ),3GPP,10,1
3M Canada,3M ' s Health Information Systems,11,1
3M Canada,3M Company ' s ( 3M ) Communication Markets Division,11,1
3M Canada,3M Corporation,11,1
3M Canada,3M China,11,1
3M Canada,3M,11,1
3M Canada,3M Company,11,1
3M Canada,3M Japan,11,1
3M ' s Health Information Systems,3M Company ' s ( 3M ) Communication Markets Division,11,1
3M ' s Health Information Systems,3M Corporation,11,1
3M ' s Health Information Systems,3M China,11,1
3M ' s Health Information Systems,3M,11,1
3M ' s Health Information Systems,3M Company,11,1
3M ' s Health Information Systems,3M Japan,11,1
3M Company ' s ( 3M ) Communication Markets Division,3M Corporation,11,1
3M Company ' s ( 3M ) Communication Markets Division,3M China,11,1
3M Company ' s ( 3M ) Communication Markets Division,3M,11,1
3M Company ' s ( 3M ) Communication Markets Division,3M Company,11,1
3M Company ' s ( 3M ) Communication Markets Division,3M Japan,11,1
3M Corporation,3M China,11,1
3M Corporation,3M,11,1
3M Corporation,3M Company,11,1
3M Corporation,3M Japan,11,1
3M China,3M,11,1
3M China,3M Company,11,1
3M China,3M Japan,11,1
3M,3M Company,11,1
3M,3M Japan,11,1
3M Company,3M Japan,11,1
3ds Max 3ds Max,3ds Max,12,1
4000 H-Series,4000 Series Mobile Processor,13,1
5GC,( 5G Home ),15,1
5GC,5G Home,15,1
5GC,5G,15,1
5GC,( 5G Core or 5GC ),15,1
( 5G Home ),5G Home,15,1
( 5G Home ),5G,15,1
( 5G Home ),( 5G Core or 5GC ),15,1
5G Home,5G,15,1
5G Home,( 5G Core or 5GC ),15,1
5G,( 5G Core or 5GC ),15,1
7-Eleven,7-Eleven Inc.,16,1
7UP,7UP Free ( outside the United States ),18,1
7UP,7UP ( outside the United States ),18,1
7UP Free ( outside the United States ),7UP ( outside the United States ),18,1
A + E Television Networks ( A + E ),A + E,20,1
F / A-18 Super Hornet,A-18E,21,1
F / A-18 Super Hornet,A-18,21,1
F / A-18 Super Hornet,F-18,21,1
F / A-18 Super Hornet,F / A 18,21,1
F / A-18 Super Hornet,F Super Hornet,21,1
F / A-18 Super Hornet,F / A-18,21,1
A-18E,A-18,21,1
A-18E,F-18,21,1
A-18E,F / A 18,21,1
A-18E,F Super Hornet,21,1
A-18E,F / A-18,21,1
A-18,F-18,21,1
A-18,F / A 18,21,1
A-18,F Super Hornet,21,1
A-18,F / A-18,21,1
F-18,F / A 18,21,1
F-18,F Super Hornet,21,1
F-18,F / A-18,21,1
F / A 18,F Super Hornet,21,1
F / A 18,F / A-18,21,1
F Super Hornet,F / A-18,21,1
A-GPS,Assisted-GPS ( A-GPS ),22,1
"A. M. Best Company, Inc.",A. M. Best Company ( A. M. Best ),23,1
"A. M. Best Company, Inc.",A. M. Best,23,1
"A. M. Best Company, Inc.","A. M. Best Company, Inc",23,1
"A. M. Best Company, Inc.",A. M. Best Company,23,1
A. M. Best Company ( A. M. Best ),A. M. Best,23,1
A. M. Best Company ( A. M. Best ),"A. M. Best Company, Inc",23,1
A. M. Best Company ( A. M. Best ),A. M. Best Company,23,1
A. M. Best,"A. M. Best Company, Inc",23,1
A. M. Best,A. M. Best Company,23,1
"A. M. Best Company, Inc",A. M. Best Company,23,1
"A. Schulman, Inc.",A. Schulman,25,1
AAdvantage ( r ),AAdvantage,26,1
ABC Network,ABC,28,1
ABC Network,ABC Television Network,28,1
ABC Network,ABC Television Network ( ABC ),28,1
ABC Television Network,ABC Television Network ( ABC ),28,1
ACANTO,ACANTO ( r ),29,1
ACE ( r ),ACE,30,1
ACE,Affordable Clean Energy ( ACE ),30,1
ACE,Affordable Clean Energy ( ACE ) Rule,30,1
ACE,Affordable Clean Energy Rule ( ACE ),30,1
ADATA,"ADATA Technology Co., Ltd.",32,1
ADP,ADP ( r ),33,1
ADP,ADP ( r ) DataCloud,33,1
ADP Comprehensive Outsourcing Services ( ADP COS ),ADP COS,35,1
ADP RPO,ADP RPO ( r ),37,1
ADP SmartCompliance,ADP SmartCompliance ( r ),38,1
ADP Workforce Now ( r ),ADP Workforce Now,40,1
AES Alamitos,"AES Alamitos, LLC",41,1
AES Ohio Generation,"AES Ohio Generation, LLC",43,1
"AFP, Inc.",AFP,44,1
AESA,AIG Europe S. A. ( AESA ),47,1
AMETEK,"AMETEK, Inc.",52,1
LANZ,ANalyZer ( LANZ ),53,1
ARCO ( r ),ARCO,54,1
ARCO ( r ),Atlantic Richfield ( ARCO ),54,1
ARCO,Atlantic Richfield ( ARCO ),54,1
ARIA,ARIA ( r ),55,1
ARM ( r ),ARM,58,1
ARMOUR,ARMOUR ( r ),59,1
ARO,ARO ( r ),60,1
ASUSTeK Computer Inc.,ASUS,61,1
ADI,AT & T Dedicated Internet ( ADI ),63,1
ATC,( ATC ),64,1
Avengers,AVENGERS,65,1
Avengers,THE AVENGERS,65,1
AVENGERS,THE AVENGERS,65,1
AWE,AWE Management Limited ( AWE ),66,1
AbbVie Inc,AbbVie,68,1
AbbVie,AbbVie Inc.,68,1
Abbott Laboratories ( Abbott ),Abbott,69,1
Accel ( r ),Accel,72,1
Accelerated Data ( MAX Data ),MAX Data,73,1
Accenture Global Services Limited,Accenture plc,74,1
Accenture Global Services Limited,Accenture Holdings plc,74,1
Accenture Global Services Limited,Accenture LLP,74,1
Accenture Global Services Limited,Accenture Digital,74,1
Accenture Global Services Limited,Accenture Labs,74,1
Accenture Global Services Limited,"Accenture Communications, Media, and Technology",74,1
Accenture Global Services Limited,Accenture Operations,74,1
Accenture Global Services Limited,Accenture Global Solutions Limited,74,1
Accenture Global Services Limited,Accenture,74,1
Accenture Global Services Limited,Accenture Research,74,1
Accenture Global Services Limited,Accenture Ventures,74,1
Accenture Global Services Limited,Accenture Canada Holdings Inc.,74,1
Accenture Global Services Limited,Accenture Leadership,74,1
Accenture Global Services Limited,Accenture Federal Services,74,1
Accenture Global Services Limited,Accenture Technology,74,1
Accenture plc,Accenture Holdings plc,74,1
Accenture plc,Accenture LLP,74,1
Accenture plc,Accenture Digital,74,1
Accenture plc,Accenture Labs,74,1
Accenture plc,"Accenture Communications, Media, and Technology",74,1
Accenture plc,Accenture Operations,74,1
Accenture plc,Accenture Global Solutions Limited,74,1
Accenture plc,Accenture,74,1
Accenture plc,Accenture Research,74,1
Accenture plc,Accenture Ventures,74,1
Accenture plc,Accenture Canada Holdings Inc.,74,1
Accenture plc,Accenture Leadership,74,1
Accenture plc,Accenture Federal Services,74,1
Accenture plc,Accenture Technology,74,1
Accenture Holdings plc,Accenture LLP,74,1
Accenture Holdings plc,Accenture Digital,74,1
Accenture Holdings plc,Accenture Labs,74,1
Accenture Holdings plc,"Accenture Communications, Media, and Technology",74,1
Accenture Holdings plc,Accenture Operations,74,1
Accenture Holdings plc,Accenture Global Solutions Limited,74,1
Accenture Holdings plc,Accenture,74,1
Accenture Holdings plc,Accenture Research,74,1
Accenture Holdings plc,Accenture Ventures,74,1
Accenture Holdings plc,Accenture Canada Holdings Inc.,74,1
Accenture Holdings plc,Accenture Leadership,74,1
Accenture Holdings plc,Accenture Federal Services,74,1
Accenture Holdings plc,Accenture Technology,74,1
Accenture LLP,Accenture Digital,74,1
Accenture LLP,Accenture Labs,74,1
Accenture LLP,"Accenture Communications, Media, and Technology",74,1
Accenture LLP,Accenture Operations,74,1
Accenture LLP,Accenture Global Solutions Limited,74,1
Accenture LLP,Accenture,74,1
Accenture LLP,Accenture Research,74,1
Accenture LLP,Accenture Ventures,74,1
Accenture LLP,Accenture Canada Holdings Inc.,74,1
Accenture LLP,Accenture Leadership,74,1
Accenture LLP,Accenture Federal Services,74,1
Accenture LLP,Accenture Technology,74,1
Accenture Digital,Accenture Labs,74,1
Accenture Digital,"Accenture Communications, Media, and Technology",74,1
Accenture Digital,Accenture Operations,74,1
Accenture Digital,Accenture Global Solutions Limited,74,1
Accenture Digital,Accenture,74,1
Accenture Digital,Accenture Research,74,1
Accenture Digital,Accenture Ventures,74,1
Accenture Digital,Accenture Canada Holdings Inc.,74,1
Accenture Digital,Accenture Leadership,74,1
Accenture Digital,Accenture Federal Services,74,1
Accenture Digital,Accenture Technology,74,1
Accenture Labs,"Accenture Communications, Media, and Technology",74,1
Accenture Labs,Accenture Operations,74,1
Accenture Labs,Accenture Global Solutions Limited,74,1
Accenture Labs,Accenture,74,1
Accenture Labs,Accenture Research,74,1
